,0
0,1106.9999999999998
1,1008.6666666666665
2,1077.6666666666667
3,954.6666666666667
4,1013.0
5,1014.6666666666666
6,1016.0
7,1007.6666666666667
8,101.33333333333334
9,55.0
10,17.666666666666664
11,6.333333333333333
12,387.0000000000001
13,286.66666666666663
14,268.0
15,252.33333333333331
16,208.66666666666666
17,185.33333333333334
18,174.99999999999997
19,200.33333333333326
20,272.9999999999999
21,139.33333333333331
22,191.33333333333337
23,5.0
24,203.0
25,942.6666666666666
26,916.6666666666667
27,931.6666666666666
28,1130.0
29,1130.0
30,1098.6666666666665
31,1107.6666666666665
32,1128.6666666666667
33,1129.3333333333333
34,1099.3333333333335
35,1127.0
36,915.6666666666667
37,860.3333333333331
38,870.3333333333333
39,821.3333333333334
40,1130.0
41,1118.0
42,1101.6666666666665
43,1084.6666666666665
44,619.3333333333333
45,769.3333333333333
46,755.3333333333333
47,761.6666666666666
