,0
0,484.6666666666687
1,482.00000000000193
2,484.000000000002
3,443.66666666666947
4,494.33333333333655
5,493.0000000000031
6,493.66666666666987
7,493.0000000000032
8,687.6666666666639
9,661.3333333333311
10,572.6666666666655
11,485.66666666666896
12,633.9999999999986
13,670.6666666666649
14,593.6666666666654
15,610.9999999999992
16,686.3333333333306
17,685.3333333333306
18,684.9999999999973
19,685.3333333333306
20,685.3333333333306
21,685.9999999999973
22,685.6666666666639
23,685.3333333333306
24,648.3333333333309
25,494.00000000000296
26,564.6666666666656
27,518.666666666669
28,685.666666666664
29,684.3333333333308
30,657.6666666666641
31,663.3333333333308
32,685.666666666664
33,508.3333333333373
34,656.999999999998
35,554.3333333333352
36,463.0000000000034
37,294.0000000000001
38,350.3333333333344
39,387.0000000000013
40,686.3333333333305
41,686.3333333333306
42,686.3333333333305
43,686.3333333333305
44,685.9999999999973
45,685.3333333333306
46,685.3333333333306
47,686.3333333333305
