,0
0,532.0000000000018
1,314.6666666666677
2,483.33333333333525
3,484.3333333333353
4,552.6666666666678
5,549.6666666666677
6,551.333333333334
7,551.3333333333345
8,327.0
9,309.9999999999998
10,518.666666666669
11,305.33333333333314
12,430.0000000000022
13,347.00000000000097
14,347.0000000000014
15,318.00000000000074
16,527.0000000000013
17,504.0000000000026
18,517.000000000002
19,511.6666666666693
20,447.666666666669
21,448.0000000000024
22,453.0000000000024
23,434.3333333333357
24,456.3333333333356
25,455.3333333333357
26,453.66666666666885
27,446.0000000000024
28,438.6666666666691
29,444.33333333333576
30,436.0000000000022
31,421.666666666669
32,442.33333333333417
33,268.33333333333206
34,411.00000000000057
35,329.3333333333328
36,170.66666666666643
37,112.33333333333346
38,109.66666666666683
39,104.33333333333343
40,530.0000000000007
41,530.333333333334
42,525.6666666666678
43,530.6666666666673
44,443.666666666669
45,448.3333333333357
46,443.666666666669
47,442.00000000000233
