,0
0,213.0
1,163.66666666666669
2,157.66666666666666
3,163.66666666666669
4,643.6666666666662
5,392.66666666666634
6,538.3333333333336
7,368.3333333333336
8,607.333333333333
9,601.333333333333
10,604.9999999999995
11,592.9999999999997
12,964.6666666666682
13,919.0000000000014
14,952.3333333333352
15,897.0000000000013
16,265.9999999999998
17,184.0
18,121.0
19,77.33333333333333
20,208.66666666666643
21,20.0
22,95.66666666666669
23,57.666666666666664
24,204.33333333333323
25,183.66666666666663
26,179.99999999999994
27,191.99999999999991
28,187.33333333333337
29,145.0
30,154.33333333333337
31,136.66666666666669
32,201.99999999999991
33,194.99999999999994
34,178.99999999999997
35,196.33333333333326
36,141.0
37,85.0
38,73.0
39,89.0
40,156.66666666666669
41,142.0
42,98.0
43,133.33333333333334
44,181.66666666666663
45,182.0
46,175.0
47,179.99999999999994
48,486.66666666666856
49,308.9999999999998
50,538.000000000001
51,298.6666666666668
52,325.00000000000114
53,326.3333333333345
54,326.6666666666678
55,321.3333333333345
56,423.66666666666754
57,248.6666666666655
58,401.0000000000006
59,310.6666666666661
60,503.3333333333357
61,501.3333333333357
62,503.3333333333357
63,499.0000000000024
64,500.0000000000025
65,492.00000000000256
66,500.0000000000025
67,485.66666666666924
68,429.0000000000024
69,424.3333333333357
70,420.6666666666688
71,408.666666666669
72,452.00000000000244
73,451.00000000000233
74,447.66666666666896
75,441.3333333333357
76,430.666666666669
77,431.666666666669
78,428.66666666666896
79,426.00000000000233
80,431.6666666666691
81,427.666666666669
82,432.3333333333356
83,417.66666666666896
84,418.3333333333356
85,341.0000000000009
86,339.66666666666805
87,299.0000000000007
88,353.66666666666816
89,332.00000000000136
90,347.6666666666681
91,337.3333333333348
92,177.66666666666637
93,186.99999999999991
94,235.99999999999952
95,104.66666666666677
96,356.66666666666737
97,748.3333333333311
98,907.6666666666677
99,730.3333333333339
100,607.9999999999992
101,10.0
102,0.0
103,2.0
104,1.0
105,1.0
106,1.0
107,1.0
108,2.0
109,3.0
110,0.0
111,2.0
112,1.0
113,1.0
114,1.0
115,1.0
116,2.0
117,2.0
118,1.0
119,14.0
120,1.0
121,1.0
122,0.0
123,1.0
124,2.0
125,8.0
126,1.0
127,8.0
128,2.0
129,6.0
130,4.0
131,14.0
132,1.0
133,1.0
134,0.0
135,1.0
136,2.0
137,2.0
138,0.0
139,3.0
140,1.0
141,1.0
142,0.0
143,1.0
