,0
0,1116.6666666666667
1,1099.0000000000002
2,1085.6666666666665
3,1078.333333333333
4,1013.9999999999999
5,1010.3333333333335
6,1013.3333333333335
7,1009.0
8,101.33333333333334
9,57.0
10,114.33333333333334
11,63.33333333333333
12,383.66666666666674
13,286.33333333333337
14,268.3333333333333
15,250.66666666666669
16,209.66666666666663
17,184.66666666666669
18,174.33333333333334
19,198.0
20,314.66666666666646
21,290.33333333333303
22,283.9999999999999
23,118.0
24,1086.333333333333
25,1046.9999999999995
26,1047.9999999999995
27,1033.333333333333
28,1130.0
29,1130.0
30,1102.3333333333333
31,1108.3333333333333
32,1129.0000000000002
33,1129.0
34,1103.3333333333335
35,1128.3333333333333
36,917.3333333333333
37,845.0000000000001
38,871.3333333333333
39,830.6666666666667
40,1130.0
41,1117.9999999999998
42,1101.6666666666665
43,747.0
44,824.0
45,640.0
46,731.3333333333333
47,597.0
