,0
0,442.333333333336
1,443.6666666666692
2,440.66666666666936
3,442.0000000000028
4,491.66666666666964
5,489.66666666666976
6,492.6666666666698
7,483.6666666666695
8,684.666666666664
9,653.9999999999978
10,561.9999999999995
11,572.3333333333331
12,680.3333333333308
13,658.3333333333318
14,537.6666666666678
15,546.3333333333345
16,682.3333333333306
17,680.9999999999974
18,676.666666666664
19,678.9999999999975
20,681.3333333333308
21,677.3333333333308
22,677.9999999999975
23,673.9999999999975
24,671.6666666666642
25,484.6666666666695
26,528.6666666666682
27,502.0000000000029
28,679.9999999999974
29,674.6666666666641
30,648.6666666666642
31,653.3333333333309
32,678.3333333333308
33,499.6666666666703
34,645.9999999999981
35,541.0000000000022
36,457.6666666666699
37,279.6666666666664
38,318.6666666666674
39,370.66666666666754
40,679.666666666664
41,678.3333333333308
42,674.9999999999975
43,677.6666666666641
44,677.9999999999975
45,680.3333333333308
46,681.3333333333308
47,679.3333333333308
